Account Name,ISIN,Trading Currency,Weight
FinEx Russian RTS Equity UCITS ETF,RU0007661625,RUB,"14,32%"
FinEx Russian RTS Equity UCITS ETF,RU0009024277,RUB,"10,78%"
FinEx Russian RTS Equity UCITS ETF,RU0009084396,RUB,"0,61%"
FinEx Russian RTS Equity UCITS ETF,RU0009046452,RUB,"1,81%"
FinEx Russian RTS Equity UCITS ETF,RU0008926258,RUB,"1,72%"
FinEx Russian RTS Equity UCITS ETF,RU0008943394,RUB,"0,52%"
FinEx Russian RTS Equity UCITS ETF,RU0009029524,RUB,"1,35%"
FinEx Russian RTS Equity UCITS ETF,RU0009062285,RUB,"0,38%"
FinEx Russian RTS Equity UCITS ETF,RU0009091573,RUB,"0,43%"
FinEx Russian RTS Equity UCITS ETF,RU0009033591,RUB,"1,85%"
FinEx Russian RTS Equity UCITS ETF,RU0006944147,RUB,"0,36%"
FinEx Russian RTS Equity UCITS ETF,RU0007288411,RUB,"7,75%"
FinEx Russian RTS Equity UCITS ETF,RU0007775219,RUB,"1,59%"
FinEx Russian RTS Equity UCITS ETF,RU0009046510,RUB,"1,74%"
FinEx Russian RTS Equity UCITS ETF,RU000A0DQZE3,RUB,"0,55%"
FinEx Russian RTS Equity UCITS ETF,RU000A0JKQU8,RUB,"1,91%"
FinEx Russian RTS Equity UCITS ETF,RU000A0JNAA8,RUB,"2,38%"
FinEx Russian RTS Equity UCITS ETF,RU000A0J2Q06,RUB,"3,33%"
FinEx Russian RTS Equity UCITS ETF,RU000A0DKVS5,RUB,"4,72%"
FinEx Russian RTS Equity UCITS ETF,RU0007252813,RUB,"1,53%"
FinEx Russian RTS Equity UCITS ETF,RU000A0JP5V6,RUB,"0,87%"
FinEx Russian RTS Equity UCITS ETF,RU000A0JP7J7,RUB,"0,60%"
FinEx Russian RTS Equity UCITS ETF,RU000A0JPFP0,RUB,"0,18%"
FinEx Russian RTS Equity UCITS ETF,RU000A0JPKH7,RUB,"0,38%"
FinEx Russian RTS Equity UCITS ETF,RU000A0JPNN9,RUB,"0,27%"
FinEx Russian RTS Equity UCITS ETF,RU000A0JPNM1,RUB,"0,93%"
FinEx Russian RTS Equity UCITS ETF,US98387E2054,RUB,"1,37%"
FinEx Russian RTS Equity UCITS ETF,US5603172082,RUB,"0,90%"
FinEx Russian RTS Equity UCITS ETF,RU0009029540,RUB,"13,95%"
FinEx Russian RTS Equity UCITS ETF,RU0009029557,RUB,"1,24%"
FinEx Russian RTS Equity UCITS ETF,RU000A0JPVJ0,RUB,"0,16%"
FinEx Russian RTS Equity UCITS ETF,RU000A1025V3,RUB,"0,79%"
FinEx Russian RTS Equity UCITS ETF,NL0009805522,RUB,"7,00%"
FinEx Russian RTS Equity UCITS ETF,RU000A0JRKT8,RUB,"0,77%"
FinEx Russian RTS Equity UCITS ETF,JE00B6T5S470,RUB,"3,11%"
FinEx Russian RTS Equity UCITS ETF,RU000A0JR4A1,RUB,"1,32%"
FinEx Russian RTS Equity UCITS ETF,RU000A0JUG31,RUB,"0,20%"
FinEx Russian RTS Equity UCITS ETF,US87238U2033,RUB,"2,83%"
FinEx Russian RTS Equity UCITS ETF,RU000A0JSQ90,RUB,"0,43%"
FinEx Russian RTS Equity UCITS ETF,GB0031544546,RUB,"0,38%"
FinEx Russian RTS Equity UCITS ETF,US74735M1080,RUB,"0,12%"
FinEx Russian RTS Equity UCITS ETF,US42207L1061,RUB,"0,37%"
FinEx Russian RTS Equity UCITS ETF,US37949E2046,RUB,"0,24%"
FinEx Russian RTS Equity UCITS ETF,US69269L1044,RUB,"0,79%"
