Account Name,ISIN,Trading Currency,Weight
FinEx USA Info Tech UCITS ETF,US4592001014,USD,"0,95%"
FinEx USA Info Tech UCITS ETF,US0079031078,USD,"0,70%"
FinEx USA Info Tech UCITS ETF,US00724F1012,USD,"1,79%"
FinEx USA Info Tech UCITS ETF,US0326541051,USD,"0,45%"
FinEx USA Info Tech UCITS ETF,US03662Q1058,USD,"0,22%"
FinEx USA Info Tech UCITS ETF,US0378331005,USD,"15,84%"
FinEx USA Info Tech UCITS ETF,US0382221051,USD,"0,93%"
FinEx USA Info Tech UCITS ETF,US0527691069,USD,"0,47%"
FinEx USA Info Tech UCITS ETF,US0530151036,USD,"0,62%"
FinEx USA Info Tech UCITS ETF,US92343E1029,USD,"0,17%"
FinEx USA Info Tech UCITS ETF,US0320951017,USD,"0,30%"
FinEx USA Info Tech UCITS ETF,US1773761002,USD,"0,10%"
FinEx USA Info Tech UCITS ETF,US17275R1023,USD,"1,54%"
FinEx USA Info Tech UCITS ETF,US2193501051,USD,"0,22%"
FinEx USA Info Tech UCITS ETF,GB0022569080,USD,"0,07%"
FinEx USA Info Tech UCITS ETF,US1924461023,USD,"0,28%"
FinEx USA Info Tech UCITS ETF,US22160N1090,USD,"0,24%"
FinEx USA Info Tech UCITS ETF,US2786421030,USD,"0,30%"
FinEx USA Info Tech UCITS ETF,US1273871087,USD,"0,26%"
FinEx USA Info Tech UCITS ETF,US2855121099,USD,"0,31%"
FinEx USA Info Tech UCITS ETF,US79466L3024,USD,"1,50%"
FinEx USA Info Tech UCITS ETF,US3666511072,USD,"0,15%"
FinEx USA Info Tech UCITS ETF,US67066G1040,USD,"2,77%"
FinEx USA Info Tech UCITS ETF,US3156161024,USD,"0,08%"
FinEx USA Info Tech UCITS ETF,US4612021034,USD,"0,87%"
FinEx USA Info Tech UCITS ETF,US4581401001,USD,"1,72%"
FinEx USA Info Tech UCITS ETF,US4824801009,USD,"0,36%"
FinEx USA Info Tech UCITS ETF,US5128071082,USD,"0,68%"
FinEx USA Info Tech UCITS ETF,US00971T1016,USD,"0,14%"
FinEx USA Info Tech UCITS ETF,US57772K1016,USD,"0,20%"
FinEx USA Info Tech UCITS ETF,US00507V1098,USD,"0,55%"
FinEx USA Info Tech UCITS ETF,US5949181045,USD,"13,92%"
FinEx USA Info Tech UCITS ETF,US5951121038,USD,"0,68%"
FinEx USA Info Tech UCITS ETF,US5950171042,USD,"0,30%"
FinEx USA Info Tech UCITS ETF,US5738741041,USD,"0,24%"
FinEx USA Info Tech UCITS ETF,US64110D1046,USD,"0,13%"
FinEx USA Info Tech UCITS ETF,US68389X1054,USD,"1,02%"
FinEx USA Info Tech UCITS ETF,US7475251036,USD,"1,13%"
FinEx USA Info Tech UCITS ETF,US64110L1061,USD,"1,62%"
FinEx USA Info Tech UCITS ETF,US8716071076,USD,"0,29%"
FinEx USA Info Tech UCITS ETF,US8825081040,USD,"1,29%"
FinEx USA Info Tech UCITS ETF,US8962391004,USD,"0,15%"
FinEx USA Info Tech UCITS ETF,US9581021055,USD,"0,16%"
FinEx USA Info Tech UCITS ETF,US83088M1027,USD,"0,21%"
FinEx USA Info Tech UCITS ETF,US9839191015,USD,"0,22%"
FinEx USA Info Tech UCITS ETF,US57636Q1040,USD,"2,38%"
FinEx USA Info Tech UCITS ETF,US9285634021,USD,"0,09%"
FinEx USA Info Tech UCITS ETF,US58733R1023,USD,"0,48%"
FinEx USA Info Tech UCITS ETF,US92826C8394,USD,"2,87%"
FinEx USA Info Tech UCITS ETF,CH0114405324,USD,"0,16%"
FinEx USA Info Tech UCITS ETF,US8486371045,USD,"0,14%"
FinEx USA Info Tech UCITS ETF,IE00B4BNMY34,USD,"1,35%"
FinEx USA Info Tech UCITS ETF,US92345Y1064,USD,"0,21%"
FinEx USA Info Tech UCITS ETF,IE00BKVD2N49,USD,"0,14%"
FinEx USA Info Tech UCITS ETF,US78467J1007,USD,"0,12%"
FinEx USA Info Tech UCITS ETF,US34959E1091,USD,"0,22%"
FinEx USA Info Tech UCITS ETF,US6200763075,USD,"0,25%"
FinEx USA Info Tech UCITS ETF,US30303M1027,USD,"5,83%"
FinEx USA Info Tech UCITS ETF,US81762P1021,USD,"0,70%"
FinEx USA Info Tech UCITS ETF,US6974351057,USD,"0,26%"
FinEx USA Info Tech UCITS ETF,US98138H1014,USD,"0,32%"
FinEx USA Info Tech UCITS ETF,US12514G1085,USD,"0,17%"
FinEx USA Info Tech UCITS ETF,US90138F1021,USD,"0,38%"
FinEx USA Info Tech UCITS ETF,US83304A1060,USD,"0,48%"
FinEx USA Info Tech UCITS ETF,US6792951054,USD,"0,22%"
FinEx USA Info Tech UCITS ETF,US5253271028,USD,"0,10%"
FinEx USA Info Tech UCITS ETF,US11135F1012,USD,"1,34%"
FinEx USA Info Tech UCITS ETF,US76680R2067,USD,"0,15%"
FinEx USA Info Tech UCITS ETF,US90184L1026,USD,"0,33%"
FinEx USA Info Tech UCITS ETF,US2561631068,USD,"0,27%"
FinEx USA Info Tech UCITS ETF,LU1778762911,USD,"0,20%"
FinEx USA Info Tech UCITS ETF,US26210C1045,USD,"0,06%"
FinEx USA Info Tech UCITS ETF,US98980L1017,USD,"0,50%"
FinEx USA Info Tech UCITS ETF,US24703L2025,USD,"0,19%"
FinEx USA Info Tech UCITS ETF,US6687711084,USD,"0,11%"
FinEx USA Info Tech UCITS ETF,US55087P1049,USD,"0,10%"
FinEx USA Info Tech UCITS ETF,US90353T1007,USD,"0,47%"
FinEx USA Info Tech UCITS ETF,US57667L1070,USD,"0,27%"
FinEx USA Info Tech UCITS ETF,US44891N2080,USD,"0,09%"
FinEx USA Info Tech UCITS ETF,US0404131064,USD,"0,14%"
FinEx USA Info Tech UCITS ETF,US74736K1016,USD,"0,15%"
FinEx USA Info Tech UCITS ETF,US02079K3059,USD,"5,22%"
FinEx USA Info Tech UCITS ETF,US42824C1099,USD,"0,15%"
FinEx USA Info Tech UCITS ETF,US70450Y1038,USD,"2,25%"
FinEx USA Info Tech UCITS ETF,US81141R1005,USD,"0,12%"
FinEx USA Info Tech UCITS ETF,US40434L1052,USD,"0,29%"
FinEx USA Info Tech UCITS ETF,US02079K1079,USD,"5,07%"
FinEx USA Info Tech UCITS ETF,GB00BZ09BD16,USD,"0,20%"
FinEx USA Info Tech UCITS ETF,US98980G1022,USD,"0,10%"
FinEx USA Info Tech UCITS ETF,US23804L1035,USD,"0,14%"
FinEx USA Info Tech UCITS ETF,US88339J1051,USD,"0,18%"
FinEx USA Info Tech UCITS ETF,US22266L1061,USD,"0,13%"
FinEx USA Info Tech UCITS ETF,US22788C1053,USD,"0,30%"
FinEx USA Info Tech UCITS ETF,US72352L1061,USD,"0,25%"
FinEx USA Info Tech UCITS ETF,US70432V1026,USD,"0,12%"
FinEx USA Info Tech UCITS ETF,US11133T1034,USD,"0,13%"
FinEx USA Info Tech UCITS ETF,US02156K1034,USD,"0,06%"
FinEx USA Info Tech UCITS ETF,US8725901040,USD,"0,59%"
FinEx USA Info Tech UCITS ETF,US16119P1084,USD,"0,65%"
FinEx USA Info Tech UCITS ETF,US92343V1044,USD,"1,68%"
FinEx USA Info Tech UCITS ETF,US5502411037,USD,"0,11%"
FinEx USA Info Tech UCITS ETF,US00206R1023,USD,"1,56%"
FinEx USA Info Tech UCITS ETF,US31620M1062,USD,"0,69%"
FinEx USA Info Tech UCITS ETF,US7766961061,USD,"0,35%"
